RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0	273.25	301.462
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.001	273.496	301.786
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.00177828	273.685	302.036
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.00316228	274.015	302.473
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.00562341	274.587	303.23
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.01	275.553	304.516
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.0177828	277.13	306.63
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.0316228	279.563	309.925
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.0562341	283.005	314.662
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.1	287.322	320.748
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.177828	291.996	327.54
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.316228	296.317	334.032
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	0.562341	299.762	339.378
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	1	302.196	343.262
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	1.77828	303.768	345.829
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	3.16228	304.718	347.421
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	5.62341	305.258	348.37
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	10	305.537	348.937
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	17.7828	305.658	349.329
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	31.6228	305.716	349.774
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	56.2341	305.896	350.672
0	1066.31	1	214.23	1	0.12	1	407.531	1	3346.61	1	100	306.645	352.789
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0	273.25	301.462
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.001	273.517	301.818
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.00177828	273.722	302.091
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.00316228	274.079	302.567
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.00562341	274.694	303.385
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.01	275.725	304.759
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.0177828	277.394	306.993
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.0316228	279.955	310.473
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.0562341	283.522	315.405
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.1	287.912	321.619
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.177828	292.557	328.401
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.316228	296.752	334.752
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	0.562341	300.017	339.896
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	1	302.22	343.487
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	1.77828	303.524	345.763
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	3.16228	304.092	346.941
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	5.62341	304.051	347.296
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	10	303.419	346.957
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	17.7828	302.143	345.957
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	31.6228	299.672	344.121
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	56.2341	296.052	341.616
1	1265.76	1	127.371	1	0.11128	1	533.938	1	2177.05	1	100	291.619	339.181
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0	273.25	301.462
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.001	273.525	301.829
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.00177828	273.736	302.11
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.00316228	274.105	302.6
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.00562341	274.737	303.442
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.01	275.796	304.853
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.0177828	277.509	307.146
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.0316228	280.122	310.697
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.0562341	283.746	315.71
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.1	288.176	321.985
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.177828	292.833	328.785
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.316228	297.022	335.121
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	0.562341	300.293	340.253
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	1	302.551	343.878
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	1.77828	303.995	346.27
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	3.16228	304.847	347.714
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	5.62341	305.318	348.57
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	10	305.549	349.088
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	17.7828	305.642	349.455
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	31.6228	305.686	349.847
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	56.2341	305.355	350.312
2	1445.78	1	214.895	1	0.108011	1	419.799	1	2981.39	1	100	305.937	352.404
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0	273.25	301.462
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.001	273.433	301.706
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.00177828	273.575	301.895
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.00316228	273.823	302.225
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.00562341	274.255	302.8
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.01	274.992	303.781
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.0177828	276.214	305.408
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.0316228	278.169	308.044
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.0562341	281.065	311.986
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.1	284.961	317.405
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.177828	289.538	323.956
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.316228	294.134	330.751
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	0.562341	298.08	336.777
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	1	301.037	341.428
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	1.77828	303.045	344.7
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	3.16228	304.295	346.783
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	5.62341	305.028	348.043
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	10	305.439	348.816
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	17.7828	305.677	349.351
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	31.6228	305.891	349.877
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	56.2341	305.771	350.455
3	1077.38	1	226.574	1	0.162503	1	434.318	1	2873.68	1	100	306.617	352.59
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0	273.25	301.462
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.001	273.658	302.005
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.00177828	273.968	302.418
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.00316228	274.504	303.131
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.00562341	275.41	304.338
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.01	276.888	306.305
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.0177828	279.211	309.456
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.0316228	282.527	314.011
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.0562341	286.764	319.964
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.1	291.451	326.74
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.177828	295.886	333.364
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.316228	299.519	338.963
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	0.562341	302.166	343.1
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	1	304.025	346.056
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	1.77828	305.347	348.068
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	3.16228	306.461	349.626
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	5.62341	307.687	351.173
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	10	309.375	353.154
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	17.7828	311.937	356.061
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	31.6228	316.129	360.75
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	56.2341	323.105	368.543
4	981.7	1	362.95	1	0.0726894	1	191.094	1	2784	1	100	333.807	380.789
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0	273.25	301.462
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.001	273.623	301.959
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.00177828	273.907	302.337
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.00316228	274.399	302.993
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.00562341	275.235	304.105
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.01	276.607	305.933
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.0177828	278.779	308.874
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.0316228	281.925	313.184
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.0562341	286.025	318.928
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.1	290.66	325.613
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.177828	295.128	332.28
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.316228	298.812	337.976
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	0.562341	301.438	342.151
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	1	303.122	345.008
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	1.77828	303.999	346.62
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	3.16228	304.241	347.325
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	5.62341	303.911	347.309
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	10	302.959	346.617
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	17.7828	301.197	345.178
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	31.6228	298.138	342.833
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	56.2341	293.594	339.632
5	2001.29	1	113.401	1	0.0794514	1	550.191	1	4857.13	1	100	287.937	336.293
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0	273.25	301.462
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.001	273.474	301.76
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.00177828	273.646	301.989
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.00316228	273.946	302.389
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.00562341	274.467	303.082
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.01	275.348	304.255
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.0177828	276.788	306.174
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.0316228	279.057	309.251
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.0562341	282.313	313.719
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.1	286.499	319.597
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.177828	291.159	326.334
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.316228	295.587	332.954
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	0.562341	299.202	338.551
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	1	301.779	342.635
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	1.77828	303.466	345.441
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	3.16228	304.44	347.114
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	5.62341	304.914	348.026
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	10	305.018	348.43
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	17.7828	304.808	348.469
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	31.6228	304.304	348.237
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	56.2341	303.213	347.714
6	2306.2	1	267.347	1	0.133223	1	693.419	1	3575.84	1	100	301.625	347.145
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0	273.25	301.462
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.001	273.486	301.776
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.00177828	273.667	302.017
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.00316228	273.984	302.439
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.00562341	274.531	303.167
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.01	275.455	304.398
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.0177828	276.96	306.401
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.0316228	279.319	309.605
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.0562341	282.675	314.218
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.1	286.94	320.216
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.177828	291.628	327.002
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.316228	296.037	333.598
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	0.562341	299.631	339.147
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	1	302.238	343.233
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	1.77828	304.061	346.141
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	3.16228	305.353	348.124
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	5.62341	306.437	349.666
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	10	307.616	351.202
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	17.7828	309.211	353.152
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	31.6228	311.564	355.947
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	56.2341	315.734	360.96
7	1256.2	1	297.945	1	0.126381	1	255.586	1	3311.44	1	100	322.195	368.858
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0	273.25	301.462
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.001	273.736	302.109
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.00177828	274.104	302.599
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.00316228	274.736	303.441
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.00562341	275.796	304.851
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.01	277.508	307.144
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.0177828	280.121	310.694
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.0316228	283.749	315.71
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.0562341	288.186	321.992
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.1	292.859	328.809
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.177828	297.079	335.178
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.316228	300.403	340.368
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	0.562341	302.755	344.095
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	1	304.363	346.665
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	1.77828	305.502	348.419
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	3.16228	306.466	349.809
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	5.62341	307.53	351.23
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	10	308.977	353.069
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	17.7828	311.102	355.72
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	31.6228	314.891	360.636
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	56.2341	320.715	368.413
8	1141.81	1	139.526	1	0.0608082	1	133.905	1	2807.84	1	100	329.702	380.805
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0	273.25	301.462
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.001	273.392	301.651
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.00177828	273.501	301.796
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.00316228	273.694	302.053
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.00562341	274.031	302.501
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.01	274.611	303.274
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.0177828	275.588	304.575
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.0316228	277.174	306.691
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.0562341	279.636	310.035
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.1	283.103	314.814
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.177828	287.443	320.935
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.316228	292.132	327.745
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	0.562341	296.471	334.26
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	1	299.961	339.674
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	1.77828	302.472	343.63
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	3.16228	304.223	346.43
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	5.62341	305.482	348.375
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	10	306.566	349.951
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	17.7828	307.773	351.593
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	31.6228	309.401	353.719
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	56.2341	311.981	357.196
9	2290.22	1	282.221	1	0.210932	1	305.314	1	4290.68	1	100	316.001	362.757
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0	273.25	301.462
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.001	273.382	301.637
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.00177828	273.483	301.773
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.00316228	273.663	302.012
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.00562341	273.977	302.429
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.01	274.519	303.151
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.0177828	275.435	304.37
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.0316228	276.928	306.357
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.0562341	279.271	309.537
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.1	282.61	314.125
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.177828	286.866	320.104
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.316228	291.558	326.89
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	0.562341	295.99	333.507
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	1	299.619	339.092
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	1.77828	302.275	343.224
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	3.16228	304.168	346.192
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	5.62341	305.57	348.257
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	10	306.836	349.927
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	17.7828	308.336	351.684
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	31.6228	310.504	354.032
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	56.2341	313.881	357.558
10	939.2	1	1737.29	1	0.227131	1	573.117	1	1987.68	1	100	319.536	363.376
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0	273.25	301.462
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.001	273.567	301.884
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.00177828	273.81	302.207
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.00316228	274.231	302.768
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.00562341	274.952	303.728
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.01	276.149	305.322
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.0177828	278.067	307.905
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.0316228	280.92	311.782
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.0562341	284.777	317.14
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.1	289.339	323.661
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.177828	293.953	330.47
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.316228	297.941	336.546
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	0.562341	300.952	341.272
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	1	303.006	344.597
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	1.77828	304.3	346.726
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	3.16228	305.076	348.013
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	5.62341	305.535	348.791
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	10	305.818	349.295
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	17.7828	306.036	349.701
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	31.6228	306.319	350.185
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	56.2341	306.468	350.816
11	820.507	1	252.378	1	0.093687	1	468.828	1	3029.7	1	100	307.592	352.871
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0	273.25	301.462
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.001	273.458	301.739
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.00177828	273.618	301.953
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.00316228	273.899	302.326
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.00562341	274.386	302.974
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.01	275.212	304.074
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.0177828	276.571	305.883
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.0316228	278.725	308.797
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.0562341	281.853	313.077
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.1	285.943	318.8
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.177828	290.591	325.491
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.316228	295.101	332.2
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	0.562341	298.862	337.977
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	1	301.608	342.277
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	1.77828	303.483	345.328
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	3.16228	304.675	347.248
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	5.62341	305.451	348.463
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	10	306.026	349.308
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	17.7828	306.581	350.038
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	31.6228	307.301	350.889
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	56.2341	308.43	352.125
12	759.775	1	411.349	1	0.143195	1	608.311	1	2850.37	1	100	310.093	354.179
13	930.489	1	400.828	1	0.212945	1	421.653	1	3362.94	1	0	273.25	301.462
13	930.489	1	400.828	1	0.212945	1	421.653	1	3362.94	1	0.001	273.39	301.649
13	930.489	1	400.828	1	0.212945	1	421.653	1	3362.94	1	0.00177828	273.499	301.793
13	930.489	1	400.828	1	0.212945	1	421.653	1	3362.94	1	0.00316228	273.69	302.047
13	930.489	1	400.828	1	0.212945	1	421.653	1	3362.94	1	0.00562341	274.023	302.492
13	930.489	1	400.828	1	0.212945	1	421.653	1	3362.94	1	0.01	274.599	303.257
