RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0	208.106	268.93
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.001	208.106	268.931
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.00177828	208.108	268.934
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.00316228	208.11	268.937
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.00562341	208.117	268.946
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.01	208.129	268.96
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.0177828	208.147	268.984
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.0316228	208.179	269.027
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.0562341	208.24	269.107
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.1	208.349	269.248
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.177828	208.541	269.498
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.316228	208.876	269.935
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.562341	209.473	270.714
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	1	210.524	272.089
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	1.77828	212.382	274.516
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	3.16228	215.64	278.776
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	5.62341	221.285	286.164
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	10	230.886	298.749
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	17.7828	246.778	319.615
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	31.6228	271.224	352.735
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	56.2341	307.297	402.707
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	100	358.068	473.906
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0	208.105	268.929
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.001	208.11	268.936
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.00177828	208.114	268.941
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.00316228	208.121	268.951
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.00562341	208.133	268.968
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.01	208.155	268.998
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.0177828	208.195	269.051
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.0316228	208.265	269.146
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.0562341	208.389	269.314
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.1	208.609	269.612
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.177828	208.998	270.141
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.316228	209.686	271.073
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	0.562341	210.893	272.706
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	1	212.99	275.541
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	1.77828	216.571	280.367
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	3.16228	222.513	288.337
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	5.62341	233.021	302.576
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	10	249.824	325.31
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	17.7828	275.371	360.775
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	31.6228	311.119	412.106
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	56.2341	358.777	482.326
1	70.4741	1	150.285	1	25.4674	1	276.832	1	261.101	1	100	420.733	574.236
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0	208.105	268.929
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.001	208.109	268.935
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.00177828	208.112	268.939
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.00316228	208.118	268.946
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.00562341	208.128	268.96
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.01	208.146	268.984
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.0177828	208.177	269.027
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.0316228	208.233	269.102
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.0562341	208.333	269.237
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.1	208.51	269.476
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.177828	208.824	269.899
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.316228	209.379	270.648
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	0.562341	210.355	271.964
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	1	212.06	274.261
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	1.77828	214.997	278.21
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	3.16228	219.938	284.835
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	5.62341	228.348	296.154
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	10	242.305	315.017
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	17.7828	264.517	345.323
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	31.6228	296.488	390.256
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	56.2341	340.475	454.423
2	117.815	1	609.636	1	32.9032	1	284.811	1	310.643	1	100	397.443	540.49
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0	208.105	268.929
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.001	208.107	268.933
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.00177828	208.109	268.935
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.00316228	208.113	268.94
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.00562341	208.119	268.949
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.01	208.131	268.964
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.0177828	208.151	268.991
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.0316228	208.186	269.039
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.0562341	208.249	269.124
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.1	208.361	269.276
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.177828	208.56	269.546
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.316228	208.913	270.023
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	0.562341	209.536	270.865
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	1	210.632	272.345
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	1.77828	212.541	274.923
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	3.16228	215.822	279.339
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	5.62341	221.319	286.71
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	10	230.918	299.669
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	17.7828	246.451	320.591
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	31.6228	271.074	354.318
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	56.2341	307.903	406.151
3	158.713	1	363.61	1	51.3152	1	187.199	1	244.733	1	100	358.731	480.319
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0	208.105	268.929
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.001	208.108	268.933
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.00177828	208.111	268.937
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.00316228	208.115	268.942
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.00562341	208.123	268.953
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.01	208.137	268.971
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.0177828	208.162	269.004
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.0316228	208.206	269.062
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.0562341	208.285	269.166
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.1	208.425	269.349
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.177828	208.673	269.675
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.316228	209.112	270.252
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	0.562341	209.887	271.271
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	1	211.25	273.057
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	1.77828	213.62	276.158
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	3.16228	217.678	281.446
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	5.62341	224.44	290.2
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	10	236.371	305.834
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	17.7828	254.884	330.55
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	31.6228	282.904	369.136
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	56.2341	323.224	426.041
4	65.2166	1	723.661	1	44.1813	1	294.026	1	348.824	1	100	378.439	505.773
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0	208.105	268.929
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.001	208.108	268.933
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.00177828	208.11	268.936
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.00316228	208.114	268.941
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.00562341	208.121	268.951
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.01	208.134	268.968
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.0177828	208.156	268.998
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.0316228	208.196	269.051
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.0562341	208.267	269.146
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.1	208.392	269.315
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.177828	208.615	269.615
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.316228	209.01	270.145
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	0.562341	209.707	271.081
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	1	210.931	272.723
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	1.77828	213.062	275.576
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	3.16228	216.713	280.449
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	5.62341	222.8	288.533
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	10	233.564	302.952
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	17.7828	250.854	326.112
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	31.6228	277.614	362.794
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	56.2341	316.861	418.079
5	114.804	1	373.626	1	46.4642	1	210.704	1	348.427	1	100	370.695	496.028
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0	208.105	268.929
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.001	208.108	268.934
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.00177828	208.111	268.937
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.00316228	208.115	268.943
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.00562341	208.124	268.954
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.01	208.138	268.974
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.0177828	208.164	269.008
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.0316228	208.21	269.07
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.0562341	208.291	269.179
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.1	208.436	269.372
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.177828	208.693	269.716
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.316228	209.148	270.324
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	0.562341	209.95	271.396
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	1	211.358	273.274
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	1.77828	213.801	276.526
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	3.16228	217.97	282.048
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	5.62341	224.876	291.126
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	10	237.317	307.644
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	17.7828	256.671	333.744
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	31.6228	286.117	374.258
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	56.2341	327.416	432.45
6	71.8014	1	212.619	1	39.9653	1	225.947	1	302.224	1	100	383.773	512.65
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0	208.105	268.929
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.001	208.108	268.933
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.00177828	208.11	268.935
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.00316228	208.114	268.94
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.00562341	208.12	268.949
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.01	208.133	268.964
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.0177828	208.154	268.992
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.0316228	208.192	269.041
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.0562341	208.26	269.128
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.1	208.381	269.282
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.177828	208.596	269.556
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.316228	208.976	270.041
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	0.562341	209.649	270.899
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	1	210.833	272.407
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	1.77828	212.902	275.036
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	3.16228	216.469	279.554
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	5.62341	222.48	287.123
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	10	232.444	299.981
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	17.7828	247.995	320.529
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	31.6228	271.496	353.028
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	56.2341	305.125	400.795
7	46.1069	1	1074.46	1	54.4801	1	673.495	1	312.481	1	100	351.318	468.377
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0	208.105	268.929
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.001	208.107	268.932
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.00177828	208.109	268.935
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.00316228	208.113	268.94
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.00562341	208.119	268.948
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.01	208.13	268.963
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.0177828	208.15	268.989
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.0316228	208.184	269.035
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.0562341	208.246	269.117
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.1	208.356	269.263
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.177828	208.551	269.523
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.316228	208.896	269.983
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	0.562341	209.507	270.796
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	1	210.582	272.227
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	1.77828	212.462	274.724
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	3.16228	215.707	279.022
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	5.62341	221.187	286.25
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	10	230.666	298.795
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	17.7828	246.352	319.508
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	31.6228	271.444	353.307
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	56.2341	309.09	405.029
8	138.911	1	942.765	1	55.6958	1	130.299	1	365.118	1	100	364.313	483.36
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0	208.105	268.929
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.001	208.108	268.933
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.00177828	208.11	268.936
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.00316228	208.115	268.942
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.00562341	208.123	268.952
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.01	208.136	268.97
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.0177828	208.161	269.001
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.0316228	208.204	269.058
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.0562341	208.281	269.158
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.1	208.418	269.335
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.177828	208.661	269.651
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.316228	209.092	270.209
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	0.562341	209.854	271.195
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	1	211.196	272.928
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	1.77828	213.538	275.946
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	3.16228	217.572	281.122
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	5.62341	224.364	289.767
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	10	236.14	305.055
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	17.7828	254.953	329.751
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	31.6228	284.067	369.213
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	56.2341	328.02	429.52
9	50.9495	1	379.172	1	46.7609	1	104.354	1	232.615	1	100	390.617	516.873
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0	208.105	268.929
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.001	208.107	268.932
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.00177828	208.109	268.934
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.00316228	208.111	268.938
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.00562341	208.116	268.945
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.01	208.125	268.957
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.0177828	208.141	268.978
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.0316228	208.17	269.016
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.0562341	208.22	269.084
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.1	208.31	269.204
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.177828	208.469	269.417
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.316228	208.751	269.795
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	0.562341	209.25	270.465
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	1	210.132	271.644
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	1.77828	211.678	273.709
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	3.16228	214.366	277.281
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	5.62341	218.957	283.34
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	10	226.846	293.685
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	17.7828	240.422	311.666
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	31.6228	261.982	340.587
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	56.2341	294.369	384.909
10	90.2958	1	172.298	1	62.5015	1	182.768	1	422.906	1	100	340.478	448.136
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0	208.105	268.929
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.001	208.108	268.933
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.00177828	208.11	268.936
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.00316228	208.114	268.941
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.00562341	208.12	268.95
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.01	208.132	268.966
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.0177828	208.154	268.995
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.0316228	208.192	269.046
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.0562341	208.26	269.136
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.1	208.381	269.297
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.177828	208.594	269.582
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.316228	208.973	270.087
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	0.562341	209.643	270.98
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	1	210.821	272.547
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	1.77828	212.874	275.273
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	3.16228	216.4	279.94
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	5.62341	222.312	287.713
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	10	232.735	301.506
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	17.7828	249.257	323.564
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	31.6228	275.211	358.884
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	56.2341	312.91	411.805
11	85.7218	1	315.775	1	48.7741	1	268.856	1	270.495	1	100	365.07	486.393
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0	208.105	268.929
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.001	208.107	268.932
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.00177828	208.109	268.934
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.00316228	208.112	268.938
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.00562341	208.117	268.945
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.01	208.127	268.957
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.0177828	208.143	268.979
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.0316228	208.173	269.018
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.0562341	208.227	269.087
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.1	208.322	269.21
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.177828	208.49	269.427
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.316228	208.789	269.814
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	0.562341	209.318	270.498
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	1	210.252	271.704
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	1.77828	211.893	273.817
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	3.16228	214.747	277.479
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	5.62341	219.632	283.706
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	10	227.77	294.088
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	17.7828	241.741	312.346
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	31.6228	263.427	341.559
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	56.2341	296.238	386.354
12	59.6901	1	302.289	1	66.0062	1	210.81	1	207.223	1	100	344.075	451.847
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0	208.105	268.929
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.001	208.107	268.931
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.00177828	208.108	268.933
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.00316228	208.111	268.936
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.00562341	208.115	268.942
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.01	208.123	268.952
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.0177828	208.137	268.97
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.0316228	208.162	269.002
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.0562341	208.206	269.059
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.1	208.284	269.16
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.177828	208.424	269.34
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.316228	208.671	269.658
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	0.562341	209.109	270.222
13	80.2808	1	763.314	1	82.3816	1	269.078	1	640.96	1	1	209.884	271.219
