RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0	208.106	268.93
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.001	208.105	268.93
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.00177828	208.131	268.954
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.00316228	208.105	268.93
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.00562341	208.108	268.933
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.01	208.109	268.935
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.0177828	208.115	268.942
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.0316228	208.128	268.957
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.0562341	208.137	268.97
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.1	208.164	269.004
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.177828	208.218	269.069
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.316228	208.303	269.175
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	0.562341	208.455	269.364
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	1	208.735	269.71
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	1.77828	209.212	270.306
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	3.16228	210.072	271.374
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	5.62341	211.581	273.254
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	10	214.218	276.545
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	17.7828	218.761	282.236
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	31.6228	226.45	291.915
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	56.2341	238.769	307.839
0	184.92	1	1e+06	1	238	1	1e+06	1	5499.17	1	100	257.048	332.922
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0	208.105	268.929
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.001	208.105	268.93
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.00177828	208.106	268.93
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.00316228	208.106	268.931
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.00562341	208.108	268.933
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.01	208.11	268.936
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.0177828	208.114	268.941
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.0316228	208.121	268.95
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.0562341	208.133	268.965
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.1	208.155	268.994
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.177828	208.195	269.044
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.316228	208.265	269.133
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	0.562341	208.389	269.292
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	1	208.61	269.573
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	1.77828	209.001	270.072
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	3.16228	209.692	270.952
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	5.62341	210.908	272.5
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	10	213.03	275.196
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	17.7828	216.68	279.818
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	31.6228	222.808	287.537
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	56.2341	232.968	300.66
1	264.125	1	551958	1	299.747	1	249402	1	5499.51	1	100	248.575	321.311
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0	208.105	268.929
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.001	208.105	268.93
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.00177828	208.106	268.93
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.00316228	208.106	268.931
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.00562341	208.108	268.932
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.01	208.11	268.935
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.0177828	208.114	268.94
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.0316228	208.12	268.948
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.0562341	208.132	268.963
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.1	208.154	268.989
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.177828	208.192	269.036
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.316228	208.26	269.119
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	0.562341	208.38	269.267
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	1	208.594	269.529
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	1.77828	208.973	269.993
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	3.16228	209.643	270.814
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	5.62341	210.822	272.258
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	10	212.881	274.775
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	17.7828	216.427	279.103
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	31.6228	222.224	286.247
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	56.2341	231.528	298.026
2	179.063	1	2.84065e+06	1	339.41	1	1.63304e+06	1	5527.95	1	100	245.56	317.079
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0	208.105	268.929
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.001	208.106	268.93
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.00177828	208.107	268.931
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.00316228	208.108	268.933
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.00562341	208.11	268.936
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.01	208.115	268.942
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.0177828	208.122	268.951
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.0316228	208.136	268.968
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.0562341	208.16	268.999
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.1	208.203	269.053
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.177828	208.279	269.15
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.316228	208.414	269.322
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	0.562341	208.655	269.626
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	1	209.08	270.166
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	1.77828	209.832	271.119
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	3.16228	211.154	272.791
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	5.62341	213.457	275.7
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	10	217.409	280.673
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	17.7828	224.012	288.936
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	31.6228	234.875	303.026
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	56.2341	251.312	325.078
3	127.264	1	712813	1	156.729	1	1.05419e+06	1	8286.67	1	100	275.513	359.024
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0	208.105	268.929
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.001	208.106	268.93
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.00177828	208.106	268.931
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.00316228	208.108	268.933
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.00562341	208.11	268.936
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.01	208.114	268.941
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.0177828	208.121	268.949
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.0316228	208.133	268.965
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.0562341	208.155	268.993
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.1	208.194	269.043
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.177828	208.264	269.132
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.316228	208.388	269.29
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	0.562341	208.607	269.569
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	1	208.997	270.065
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	1.77828	209.685	270.94
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	3.16228	210.895	272.479
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	5.62341	213.008	275.159
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	10	216.644	279.755
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	17.7828	222.748	287.434
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	31.6228	232.839	300.456
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	56.2341	248.353	320.996
4	146.377	1	1.8492e+06	1	169.924	1	2.25008e+06	1	3831.33	1	100	271.389	353.113
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0	208.105	268.929
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.001	208.106	268.93
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.00177828	208.106	268.931
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.00316228	208.107	268.932
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.00562341	208.108	268.934
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.01	208.111	268.937
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.0177828	208.116	268.943
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.0316228	208.125	268.954
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.0562341	208.141	268.974
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.1	208.169	269.009
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.177828	208.219	269.071
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.316228	208.308	269.181
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	0.562341	208.466	269.377
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	1	208.746	269.724
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	1.77828	209.243	270.338
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	3.16228	210.118	271.422
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	5.62341	211.655	273.322
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	10	214.323	276.615
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	17.7828	218.876	282.216
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	31.6228	226.072	291.222
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	56.2341	238.048	306.848
5	150.331	1	534895	1	252.116	1	801252	1	5567.78	1	100	255.427	330.806
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0	208.105	268.929
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.001	208.105	268.93
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.00177828	208.106	268.93
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.00316228	208.107	268.932
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.00562341	208.108	268.933
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.01	208.111	268.937
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.0177828	208.116	268.943
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.0316228	208.124	268.953
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.0562341	208.139	268.972
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.1	208.166	269.005
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.177828	208.214	269.064
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.316228	208.299	269.169
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	0.562341	208.45	269.356
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	1	208.718	269.687
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	1.77828	209.193	270.274
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	3.16228	210.031	271.308
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	5.62341	211.501	273.123
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	10	214.058	276.272
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	17.7828	218.428	281.639
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	31.6228	225.369	290.304
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	56.2341	236.877	305.244
6	153.912	1	1.20163e+06	1	265.168	1	737709	1	5724.21	1	100	253.556	328.178
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0	208.105	268.929
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.001	208.106	268.93
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.00177828	208.106	268.931
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.00316228	208.108	268.933
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.00562341	208.11	268.935
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.01	208.113	268.94
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.0177828	208.12	268.949
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.0316228	208.132	268.964
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.0562341	208.153	268.991
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.1	208.191	269.039
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.177828	208.258	269.125
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.316228	208.377	269.276
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	0.562341	208.588	269.546
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	1	208.962	270.023
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	1.77828	209.623	270.867
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	3.16228	210.787	272.35
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	5.62341	212.819	274.936
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	10	216.321	279.377
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	17.7828	222.212	286.81
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	31.6228	231.987	299.394
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	56.2341	247.296	319.553
7	158.446	1	679018	1	175.742	1	504199	1	5519.64	1	100	269.931	351.018
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0	208.105	268.929
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.001	208.105	268.93
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.00177828	208.106	268.93
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.00316228	208.107	268.931
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.00562341	208.108	268.933
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.01	208.11	268.936
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.0177828	208.114	268.941
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.0316228	208.121	268.95
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.0562341	208.134	268.966
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.1	208.157	268.994
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.177828	208.197	269.045
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.316228	208.268	269.135
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	0.562341	208.395	269.294
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	1	208.62	269.578
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	1.77828	209.019	270.08
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	3.16228	209.724	270.966
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	5.62341	210.965	272.525
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	10	213.13	275.239
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	17.7828	216.853	279.893
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	31.6228	223.095	287.661
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	56.2341	233.204	300.695
8	219.934	1	520652	1	302.799	1	1.24517e+06	1	5678.94	1	100	248.502	321.163
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0	208.105	268.929
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.001	208.105	268.93
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.00177828	208.106	268.93
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.00316228	208.107	268.931
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.00562341	208.108	268.933
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.01	208.111	268.936
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.0177828	208.116	268.942
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.0316228	208.124	268.952
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.0562341	208.139	268.97
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.1	208.166	269.002
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.177828	208.214	269.058
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.316228	208.298	269.159
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	0.562341	208.449	269.337
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	1	208.715	269.654
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	1.77828	209.187	270.214
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	3.16228	210.019	271.202
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	5.62341	211.479	272.935
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	10	214.011	275.941
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	17.7828	218.261	281.02
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	31.6228	224.833	289.118
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	56.2341	234.978	302.585
9	113.436	1	603514	1	293.989	1	423905	1	6808.51	1	100	249.861	323.228
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0	208.105	268.929
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.001	208.106	268.93
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.00177828	208.106	268.931
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.00316228	208.107	268.932
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.00562341	208.109	268.935
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.01	208.113	268.939
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.0177828	208.119	268.947
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.0316228	208.13	268.96
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.0562341	208.149	268.984
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.1	208.183	269.027
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.177828	208.244	269.104
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.316228	208.352	269.24
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	0.562341	208.543	269.481
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	1	208.883	269.909
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	1.77828	209.485	270.665
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	3.16228	210.544	271.997
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	5.62341	212.398	274.323
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	10	215.602	278.332
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	17.7828	221.022	285.086
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	31.6228	229.711	296.143
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	56.2341	243.821	314.773
10	145.58	1	1.07656e+06	1	200.095	1	1.64786e+06	1	4052	1	100	264.516	343.522
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0	208.105	268.929
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.001	208.106	268.93
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.00177828	208.106	268.931
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.00316228	208.107	268.932
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.00562341	208.109	268.935
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.01	208.112	268.939
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.0177828	208.118	268.946
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.0316228	208.128	268.96
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.0562341	208.147	268.984
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.1	208.179	269.026
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.177828	208.237	269.101
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.316228	208.339	269.235
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	0.562341	208.522	269.473
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	1	208.844	269.894
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	1.77828	209.416	270.639
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	3.16228	210.422	271.95
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	5.62341	212.182	274.24
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	10	215.222	278.185
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	17.7828	220.362	284.825
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	31.6228	229.047	296.04
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	56.2341	243.24	314.784
11	260.448	1	2.53193e+06	1	194.121	1	1.22498e+06	1	4059.82	1	100	264.947	344.298
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0	208.105	268.929
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.001	208.106	268.93
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.00177828	208.106	268.931
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.00316228	208.107	268.932
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.00562341	208.109	268.934
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.01	208.112	268.938
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.0177828	208.117	268.945
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.0316228	208.127	268.957
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.0562341	208.144	268.979
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.1	208.174	269.017
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.177828	208.227	269.086
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.316228	208.323	269.208
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	0.562341	208.492	269.424
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	1	208.792	269.808
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	1.77828	209.323	270.488
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	3.16228	210.26	271.684
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	5.62341	211.901	273.779
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	10	214.747	277.399
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	17.7828	219.584	283.529
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	31.6228	227.504	293.546
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	56.2341	240.844	311.06
12	202.834	1	578328	1	218.406	1	914586	1	4970.08	1	100	260.623	338.098
13	136.85	1	696425	1	303.7	1	1.89874e+06	1	7049.43	1	0	208.105	268.929
13	136.85	1	696425	1	303.7	1	1.89874e+06	1	7049.43	1	0.001	208.105	268.93
13	136.85	1	696425	1	303.7	1	1.89874e+06	1	7049.43	1	0.00177828	208.106	268.93
